"fclty_id","fclty_nm","area_addr","ctprvn_cd","ctprvn_nm","signgu_cd","signgu_nm","adstrd_cd","adstrd_nm","fclty_la","fclty_lo"
"KP0490","대학로 두레홀 3관","서울특별시 종로구 대학로8가길 80 (동숭동)","11","서울특별시","11010","종로구","1101064","이화동","37.5824727","127.0032821"
"KP0491","대학로 아트홀 1관(구. 서울문화예술대학교 대학로 극장)","서울특별시 종로구 동숭길 47 (동숭동)","11","서울특별시","11010","종로구","1101064","이화동","37.5803465","127.0042757"
"KP0492","대학로아트원씨어터","서울특별시 종로구 대학로12길 83 (동숭동)","11","서울특별시","11010","종로구","1101064","이화동","37.5802715","127.0040167"
"KP0493","댕로홀","서울특별시 종로구 대학로12길 50 (동숭동)","11","서울특별시","11010","종로구","1101064","이화동","37.5818625","127.0037409"
"KP0494","대학로 드림아트센터","서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터","11","서울특별시","11010","종로구","1101064","이화동","37.5832813","127.0033302"
"KP0495","대학로 극장가게 (구. 문씨어터, 지구인씨어터)","서울특별시 종로구 대학로10길 12 (동숭동)","11","서울특별시","11010","종로구","1101064","이화동","37.5816161","127.0028255"
"KP0496","대학로 달달씨어터","서울특별시 종로구 대명1길 20 (명륜4가)","11","서울특별시","11010","종로구","1101073","혜화동","37.5826943","127.000667"
"KP0497","대학로 마로니에소극장","서울특별시 종로구 동숭길 50 (동숭동)","11","서울특별시","11010","종로구","1101064","이화동","37.580566","127.0045873"
"KP0498","대학로예술극장","서울특별시 종로구 대학로10길 17 (동숭동)","11","서울특별시","11010","종로구","1101064","이화동","37.5820457","127.0031897"
"KP0499","대학로자유극장","서울특별시 종로구 대학로12길 31 (동숭동)","11","서울특별시","11010","종로구","1101064","이화동","37.5827368","127.0036422"
"KP0500","대학로 웃찾사 전용관","서울 종로구 대학로8가길 52","11","서울특별시","11010","종로구","1101064","이화동","37.5829838","127.0026677"
"KP0501","동아백화점 아트홀","대구광역시 중구 달구벌대로 2085 (덕산동)","22","대구광역시","22010","중구","2201056","성내1동","35.8663086","128.5918299"
"KP0502","대학로 스카이씨어터","서울특별시 종로구 대학로8가길 52 (동숭동) ","11","서울특별시","11010","종로구","1101064","이화동","37.5829838","127.0026677"
"KP0503","대진대학교","경기도 포천시 호국로 1007 (선단동) ","31","경기도","31270","포천시","3127052","선단동","37.87195425","127.1560039"
"KP0504","댄싱공연장","강원도 원주시 단구로 170 (명륜동) ","32","강원도","32020","원주시","3202054","명륜1동","37.3363353","127.9463963"
"KP0505","동국대학교","서울특별시 중구 필동로1길 30 (필동3가)","11","서울특별시","11020","중구","1102057","필동","37.55759092","127.0006564"
"KP0506","도파니아트홀","경상남도 창원시 의창구 창이대로113번길 20 (명서동)","38","경상남도","38111","창원시 의창구","3811153","명곡동","35.242952","128.6485885"
"KP0507","동두천시민회관","경기도 동두천시 어수로 4 (상패동)","31","경기도","31080","동두천시","3108060","상패동","37.9052419","127.0430468"
"KP0508","더 씨어터","서울특별시 종로구 대학로3길 10 (효제동) 고운빌딩","11","서울특별시","11010","종로구","1101063","종로5·6가동","37.5740522","127.0016754"
"KP0509","덜위치 칼리지 서울 영국학교","서울특별시 서초구 신반포로15길 6 (반포동) ","11","서울특별시","11220","서초구","1122056","반포본동","37.5042522","126.9952205"
"KP0510","더케이아트홀","서울특별시 서초구 바우뫼로12길 70 (양재동)","11","서울특별시","11220","서초구","1122066","양재1동","37.46590894","127.0336402"
