RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,ALL_TURSM_TOUR_EXPNDTR_INTEN_VALUE,DMSTC_TURSM_TOUR_EXPNDTR_INTEN_VALUE,OVSEA_TURSM_TOUR_EXPNDTR_INTEN_VALUE
53352423,20230227,M,50대,인천광역시,700만원 이상,약간 더 많이,비슷하게,약간 더 많이
53352496,20230227,M,30대,경상남도,300이상500만원 미만,비슷하게,비슷하게,비슷하게
53352724,20230227,M,30대,경상북도,모름,비슷하게,비슷하게,비슷하게
53352733,20230227,F,20대,부산광역시,700만원 이상,약간 더 많이,훨씬 더 많이,비슷하게
53352886,20230227,M,50대,경기도,300이상500만원 미만,약간 더 적게,약간 더 적게,약간 더 적게
53352920,20230227,M,50대,경기도,300이상500만원 미만,약간 더 적게,약간 더 적게,약간 더 적게
53352946,20230227,M,60대,경상남도,500이상700만원 미만,약간 더 적게,비슷하게,비슷하게
53353091,20230227,M,60대,경기도,300만원 미만,비슷하게,비슷하게,약간 더 적게
53353245,20230227,F,50대,경기도,500이상700만원 미만,훨씬 더 많이,비슷하게,훨씬 더 많이
53353401,20230227,F,50대,경기도,300이상500만원 미만,약간 더 많이,비슷하게,비슷하게
53353580,20230227,M,50대,경상북도,500이상700만원 미만,훨씬 더 많이,약간 더 적게,약간 더 많이
53353764,20230227,M,50대,부산광역시,300만원 미만,훨씬 더 적게,훨씬 더 적게,훨씬 더 적게
53353765,20230227,M,60대,부산광역시,700만원 이상,비슷하게,비슷하게,비슷하게
53354043,20230227,M,20대,대구광역시,700만원 이상,비슷하게,비슷하게,비슷하게
53354204,20230227,M,60대,경기도,700만원 이상,비슷하게,약간 더 많이,비슷하게
53354298,20230227,M,40대,경기도,300이상500만원 미만,비슷하게,비슷하게,비슷하게
53354355,20230227,M,50대,충청남도(세종시 포함),700만원 이상,약간 더 많이,약간 더 많이,약간 더 많이
53354577,20230227,F,60대,충청북도,300만원 미만,훨씬 더 적게,훨씬 더 적게,훨씬 더 적게
53354786,20230227,M,20대,울산광역시,700만원 이상,훨씬 더 많이,비슷하게,훨씬 더 많이
53354979,20230227,M,20대,경기도,500이상700만원 미만,약간 더 많이,약간 더 많이,훨씬 더 적게
53355182,20230227,F,50대,경기도,300이상500만원 미만,훨씬 더 많이,약간 더 많이,훨씬 더 많이
